Id,Label,Grado,Clustering Coefficient,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,Weighted Degree
157,The Great Train Robbery,0,0.0,0.0,0.0,0.0,27,0.0
158,Greed,12,0.13636363636363635,7.0,3.2558019597730787,11510.205934865477,89,12.0
159,Hell's Hinges,1,0.0,1.0,1.0,0.0,28,1.0
160,High School,0,0.0,0.0,0.0,0.0,29,0.0
161,Andromeda,0,0.0,0.0,0.0,0.0,30,0.0
162,Hospital,0,0.0,0.0,0.0,0.0,31,0.0
163,How the West Was Won,82,0.10599217103282144,6.0,2.8009283135636927,42576.555205111596,89,82.0
164,Brazil,48,0.25620567375886527,7.0,2.6879834966477567,3964.2577715607845,9,48.0
165,The Italian,0,0.0,0.0,0.0,0.0,32,0.0
166,Jam Session,0,0.0,0.0,0.0,0.0,33,0.0
167,Jammin' the Blues,0,0.0,0.0,0.0,0.0,34,0.0
168,Jaws,17,0.2426470588235294,6.0,3.004125838060856,1287.117654925258,89,17.0
169,Jazz on a Summer's Day,0,0.0,0.0,0.0,0.0,35,0.0
170,King: a Filmed Record...Montgomery To Memphis,1,0.0,8.0,4.033522434244456,0.0,208,1.0
171,The Last of the Mohicans,11,0.45454545454545453,7.0,3.783393501805054,1363.4379355820122,89,11.0
172,Laura,15,0.3904761904761905,7.0,3.3099535843218155,784.5328484378987,89,15.0
173,Let's All Go to the Lobby,0,0.0,0.0,0.0,0.0,36,0.0
174,The Life and Death of 9413: a Hollywood Extra,0,0.0,0.0,0.0,0.0,37,0.0
175,The Life and Time of Rosie the Riveter,0,0.0,0.0,0.0,0.0,38,0.0
176,Manhattan,21,0.21904761904761905,7.0,2.962351727694688,1666.4840682732192,200,21.0
177,March of Time: Inside Nazi Germany--1938,0,0.0,0.0,0.0,0.0,39,0.0
178,Marian Anderson: the Lincoln Memorial Concert,0,0.0,0.0,0.0,0.0,40,0.0
179,The Miracle of Morgan's Creek,2,1.0,8.0,4.097472924187725,0.0,89,2.0
180,Modern Times,6,0.4666666666666667,7.0,3.921093347086127,167.40760103244443,89,6.0
181,Morocco,8,0.39285714285714285,7.0,3.9097472924187726,1303.5692573937538,89,8.0
182,Motion Painting No. 1,0,0.0,0.0,0.0,0.0,41,0.0
183,Suspicion,19,0.23976608187134502,6.0,3.3362558019597732,2751.966819803274,89,19.0
184,Nashville,30,0.12183908045977011,7.0,2.8690046415678183,3274.722002614132,200,30.0
185,National Lampoon's Animal House,45,0.18383838383838383,6.0,2.7560598246518824,5065.975462791147,200,45.0
186,A Night at the Opera,6,1.0,8.0,4.324394017534812,0.0,89,6.0
187,The Night of the Hunter,23,0.28063241106719367,6.0,2.993811242908716,6760.365536351005,89,23.0
188,Rope,17,0.3897058823529412,6.0,3.3027333677153172,2720.99859298753,89,17.0
189,Z,5,0.3,7.0,3.9829809179989684,2152.9119161219214,228,5.0
190,La Reine Margot,0,0.0,0.0,0.0,0.0,42,0.0
191,Ran,4,0.5,7.0,4.3073749355337805,298.774551487636,208,4.0
192,Planet of the Apes,20,0.33157894736842103,6.0,2.968024755028365,2649.9990658398406,89,20.0
193,Poor Little Rich Girl,2,1.0,8.0,5.1918514698298095,0.0,89,2.0
194,The Producers,7,0.23809523809523808,6.0,3.3527591542031976,446.15153369675465,89,7.0
195,Red River,18,0.5359477124183006,6.0,3.3156266116554924,358.9797135257938,89,18.0
196,Regeneration,0,0.0,0.0,0.0,0.0,43,0.0
197,The River,0,0.0,0.0,0.0,0.0,44,0.0
198,Safety Last!,0,0.0,0.0,0.0,0.0,45,0.0
199,Salesman,0,0.0,0.0,0.0,0.0,46,0.0
200,Salomé,0,0.0,0.0,0.0,0.0,47,0.0
201,Scarface,9,0.4722222222222222,7.0,3.789066529138731,842.9056364131412,89,9.0
202,The Searchers,21,0.38095238095238093,6.0,3.1779267663744197,2499.651855913517,89,21.0
203,Shadows,1,0.0,8.0,3.9123259412068077,0.0,89,1.0
204,Shaft,8,0.6785714285714286,7.0,3.187725631768953,62.24076342105782,89,8.0
205,"Sherlock, Jr.",6,1.0,7.0,3.76689014956163,0.0,89,6.0
206,Sherman's March,0,0.0,0.0,0.0,0.0,48,0.0
207,Show Boat,4,0.16666666666666666,7.0,3.44559051057246,646.8799550622276,89,4.0
208,Sky High,0,0.0,0.0,0.0,0.0,49,0.0
209,Snow White,1,0.0,7.0,3.7581227436823106,0.0,258,1.0
210,Snow White and the Seven Dwarfs,11,0.32727272727272727,7.0,3.7230531201650336,5725.291296378603,297,11.0
211,Sunset Boulevard,8,0.5357142857142857,7.0,3.47498710675606,1089.6325761148123,89,8.0
212,Tabu,0,0.0,0.0,0.0,0.0,50,0.0
213,The Tell-Tale Heart,7,1.0,6.0,3.4863331614234143,0.0,208,7.0
214,The Ten Commandments,24,0.17753623188405798,6.0,2.974213512119649,5853.648150400815,89,24.0
215,The Thief of Bagdad,7,0.3333333333333333,8.0,4.705002578648788,1397.7407725735613,89,7.0
216,The Thing,5,0.1,8.0,4.356369262506447,320.9252262594923,89,5.0
217,To Be or Not to Be,8,0.25,7.0,3.400206291903043,2433.966280532706,89,8.0
218,To Fly!,0,0.0,0.0,0.0,0.0,51,0.0
219,Topaz,0,0.0,0.0,0.0,0.0,52,0.0
220,Twelve O'Clock High,11,0.5454545454545454,6.0,3.4203197524497164,925.2463284330538,89,11.0
221,The Transformers: The Movie,28,0.30158730158730157,7.0,3.036101083032491,2885.356528400093,246,28.0
222,"It's a Mad, Mad, Mad, Mad World",52,0.10030165912518854,6.0,2.8984012377514183,34013.86038100333,89,52.0
223,Vertigo,17,0.34558823529411764,7.0,3.2119649303764826,1857.5143917328478,89,17.0
224,"What's Opera, Doc?",6,1.0,8.0,4.161423414130995,0.0,297,6.0
225,Where Are My Children?,0,0.0,0.0,0.0,0.0,53,0.0
226,Will Success Spoil Rock Hunter?,11,0.36363636363636365,7.0,3.6828261990716866,3407.957925827534,89,11.0
227,Oklahoma,0,0.0,0.0,0.0,0.0,54,0.0
228,The Pied Piper,12,0.3939393939393939,7.0,3.2753996905621454,2077.7714038562985,89,12.0
229,Wake Island,5,0.3,7.0,3.406395048994327,261.5069743572655,89,5.0
230,Heaven Can Wait,7,0.38095238095238093,7.0,3.523465703971119,344.05463418971607,275,7.0
231,Madame Curie,8,0.14285714285714285,7.0,3.621970087674059,587.6790042071834,89,8.0
232,The Song of Bernadette,22,0.2857142857142857,7.0,3.1964930376482723,1806.9022447458626,89,22.0
233,Wayne's World,22,0.21645021645021645,7.0,3.0407426508509543,1031.1330145218094,281,22.0
234,Hans Christian Andersen,2,1.0,7.0,4.268695203713254,0.0,89,2.0
235,Mary Poppins,12,0.18181818181818182,7.0,3.3532748839608044,2411.389825361169,246,12.0
236,Anchors Aweigh,8,0.4642857142857143,7.0,3.7483238782877772,169.6974055451464,89,8.0
237,The Bells of St. Mary's,7,0.5238095238095238,7.0,3.512635379061372,431.9480388407217,89,7.0
238,Johnny Mnemonic,25,0.2733333333333333,7.0,3.0097988653945333,10248.186416453842,9,25.0
239,Spellbound,22,0.22510822510822512,6.0,3.2001031459515215,6569.2261834988085,89,22.0
240,Henry V,17,0.6911764705882353,6.0,3.178958225889634,1053.6787021604016,208,17.0
241,The Yearling,9,0.7777777777777778,6.0,3.4321815368746775,394.80163301234677,89,9.0
242,The Bishop's Wife,13,0.2948717948717949,7.0,3.436307374935534,970.074185381322,89,13.0
243,Hamlet,29,0.312807881773399,6.0,2.9788550799381124,3068.9729705658515,208,29.0
244,Battleground,8,0.17857142857142858,7.0,3.585353274883961,1567.1581081114673,89,8.0
245,Father of the Bride,18,0.5098039215686274,6.0,3.3151108818978856,3116.9601333085966,89,18.0
246,King Solomon's Mines,0,0.0,0.0,0.0,0.0,55,0.0
247,Rio Bravo,24,0.36231884057971014,6.0,3.11913357400722,3538.346281987726,89,24.0
248,Julius Caesar,0,0.0,0.0,0.0,0.0,56,0.0
249,Witness,27,0.21937321937321938,7.0,2.9360495100567303,1890.16799136306,208,27.0
250,The Lady Vanishes,6,0.6666666666666666,6.0,3.3764827230531202,127.63342543159408,208,6.0
251,The Craft,11,0.3090909090909091,7.0,3.3089221248066014,395.95213017759056,220,11.0
252,Stand by Me,16,0.2833333333333333,7.0,3.21248066013409,582.4749989098873,3,16.0
253,Halloween,15,0.26666666666666666,7.0,3.1407942238267146,1149.5854950660985,264,15.0
254,Ferris Bueller's Day Off,38,0.17069701280227595,7.0,2.8788035069623517,2801.9042767688447,3,38.0
255,Star Trek IV: The Voyage Home,14,0.5494505494505495,6.0,3.297576070139247,462.5557047557977,246,14.0
256,China O'Brien,2,0.0,8.0,3.9308922124806602,46.932080702402054,258,2.0
257,Dodge City,9,0.3888888888888889,7.0,3.9149045899948427,1155.3726194878625,89,9.0
258,Out of Africa,10,0.5111111111111111,7.0,3.176379577101599,1123.8554820601253,220,10.0
259,Three Coins in the Fountain,9,0.2222222222222222,7.0,3.630737493553378,338.6494120814045,89,9.0
260,Love Is a Many-Splendored Thing,10,0.4888888888888889,7.0,3.4192882929345023,287.27969439514067,89,10.0
261,Picnic,33,0.17992424242424243,6.0,2.8617844249613205,6307.305771942225,89,33.0
262,Friendly Persuasion,11,0.3090909090909091,7.0,3.6157813305827746,1420.684762422562,89,11.0
263,Giant,10,0.37777777777777777,6.0,3.3965961835997938,568.856448861549,89,10.0
264,Heaven's Gate,81,0.11574074074074074,6.0,2.567302733367715,20183.227100364023,172,81.0
265,Blow,39,0.11740890688259109,7.0,2.92573491490459,5590.606374076588,563,39.0
266,Tom Jones,13,0.2948717948717949,6.0,3.099535843218154,393.48646780455016,208,13.0
267,Darling,13,0.34615384615384615,6.0,3.154203197524497,1881.4292675533861,200,13.0
268,The Swan,16,0.31666666666666665,6.0,3.1727694687983496,2789.566897034552,208,16.0
269,Roger & Me,4,0.5,8.0,4.968540484785972,5808.0,89,4.0
270,"The Russians Are Coming, the Russians Are Coming",11,0.18181818181818182,6.0,3.004125838060856,2435.830248627455,89,11.0
271,The Sand Pebbles,30,0.15402298850574714,6.0,2.8617844249613205,7944.360697335954,208,30.0
272,Dogma,55,0.1441077441077441,7.0,2.740587931923672,6585.820030062631,563,55.0
273,Doctor Dolittle,12,0.5757575757575758,6.0,3.0665291387313047,533.5970307707895,208,12.0
274,Romeo and Juliet,15,0.41904761904761906,7.0,3.105208870551831,2281.508629778925,281,15.0
275,Speed,38,0.17496443812233287,7.0,2.876740587931924,3175.1384692158745,9,38.0
276,Pearl Harbor,65,0.11826923076923077,6.0,2.6560082516761216,8948.802092086513,220,65.0
277,Patton,8,0.42857142857142855,7.0,3.3646209386281587,376.2757106145955,89,8.0
278,Airport,35,0.1915966386554622,6.0,2.9025270758122743,11709.222849391406,89,35.0
279,The French Connection,22,0.45454545454545453,7.0,2.9855595667870034,1002.2261077417486,275,22.0
280,Cabin Boy,13,0.23076923076923078,7.0,3.1335740072202167,359.30744661187725,220,13.0
281,Party Girl,14,0.32967032967032966,7.0,3.1361526560082518,308.96296371705273,220,14.0
282,Hamlet,101,0.09584158415841584,6.0,2.4976792160907686,39381.82880701185,194,101.0
283,Hamlet,58,0.17483363581367212,7.0,2.7240845796802478,7929.680681879727,246,58.0
284,Hamlet,52,0.138763197586727,6.0,2.735946364105209,6286.203872329189,220,52.0
285,Network,26,0.1753846153846154,6.0,2.8720990201134606,4379.28668905916,89,26.0
286,The English Patient,25,0.25333333333333335,7.0,3.0268179473955645,4189.709782016621,172,25.0
287,Michael Collins,48,0.2127659574468085,7.0,2.802991232594121,3645.6441732433445,194,48.0
288,That Thing You Do!,48,0.15336879432624115,6.0,2.753996905621454,5623.020784524631,563,48.0
289,Heaven Can Wait,33,0.20643939393939395,6.0,2.8984012377514183,4593.419899637081,200,33.0
290,Midnight Express,18,0.46405228758169936,7.0,3.0680763280041257,609.6279975565684,172,18.0
291,Dead Men Don't Wear Plaid,97,0.0661512027491409,6.0,2.623001547189273,83096.98857985943,89,97.0
292,Royal Space Force: The Wings of Honneamise,0,0.0,0.0,0.0,0.0,57,0.0
293,The Class of Nuke 'Em High,0,0.0,0.0,0.0,0.0,58,0.0
294,Tromeo & Juliet,0,0.0,0.0,0.0,0.0,59,0.0
295,Trainspotting,17,0.27205882352941174,7.0,3.104693140794224,664.285911385056,290,17.0
296,Coal Miner's Daughter,16,0.4083333333333333,7.0,3.184115523465704,327.3945879152658,290,16.0
297,The Elephant Man,36,0.27936507936507937,6.0,2.742135121196493,3958.34945975194,172,36.0
298,Atlantic City,26,0.36615384615384616,6.0,2.926250644662197,5472.210697025073,89,26.0
