Id,Label,Grado,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient,PageRank,Modularity Class
2022,Zbigniew Zamachowski,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,106
2661,Branko �?uri�?,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,111
2932,Tom Neyman,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,113
3046,Clarence Johnson,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,114
3049,Uwe Ochsenknecht,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,115
3366,Vasili Nikandrov,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,118
3473,Libuše Šafránková,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,120
3814,John Rice,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,125
4447,François Berléand,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,127
4678,Elizabeth Rogers,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,129
5343,Vivek Oberoi,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,132
5556,Petchtai Wongkamlao,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,133
5589,Shawn Smith,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,134
5834,Art Carney,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,135
5961,Theo Lingen,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,138
6155,Amanda Redman,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,139
6313,Conrad Janis,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,142
6317,Jamie Smith,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,143
6480,Lee Cormie,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,144
6615,Moneca Stori,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,145
6628,Tony Fugati,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,146
6742,Jean Marais,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,148
6822,Masahiro Kobayashi,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,151
6933,Jean Harlow,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,152
7265,Jean-Pierre Darroussin,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,155
7285,Bruce McDonald,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,156
7302,Zubaida Sahar,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,157
7329,Marshall Napier,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,158
7593,Ben Murphy,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,160
7598,Susumu Fujita,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,161
455,John Bonham,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,97
456,Robert Plant,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,97
457,John Baldwin,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,97
458,Jimmy Page,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,97
647,Duncan Renaldo,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,98
648,Edwina Booth,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,98
920,Enid Markey,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,99
921,Howard C. Hickman,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,99
922,Herschel Mayall,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,99
923,George Fisher,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,99
959,Melville Webber,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,100
960,Hildegarde Watson,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,100
996,Ernest B. Schoedsack,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,101
997,Merian C. Cooper,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,101
998,Haidar Khan,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,101
999,Marguerite Harrison,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,101
1054,Jules Raucourt,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,102
1055,Robert Florey,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,102
1056,George Voya,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,102
1057,Adriane Marsh,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,102
1058,Wanita Allen,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,103
1059,Lola Weixel,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,103
1060,Margaret Wright,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,103
1061,Betty Allie,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,103
1286,Juan de la Cruz,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,104
1287,"Tyrone Power, Sr.",3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,104
1288,Marjorie Blynn,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,104
1289,A.D. Blake,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,104
1932,Margherita Caruso,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,105
1933,Marcello Morante,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,105
1934,Susanna Pasolini,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,105
1935,Enrique Irazoqui,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,105
2020,Janusz Gajos,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,106
2021,Julie Delpy,2,1.0,1.0,0.0,1.0,1.3063185932679343E-4,106
2426,Yoshiko Shinohara,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,107
2427,Ayano Shiraishi,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,107
2428,Akemi Yamaguchi,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,107
2429,Tsutomu Tatumi,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,107
2441,Mark Hoppus,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,108
2442,Blink-182,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,108
2443,Tom DeLonge,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,108
2444,Travis Barker,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,108
2481,Slavko Štimac,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,109
2482,Miki Manojlovi�?,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,109
2483,Lazar Ristovski,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,109
2484,Mirjana Jokovi�?,3,1.0,1.0,0.0,1.0,1.3063185932679337E-4,109
