Source,Target,Type,Id,Label,Weight
2923617,6350126,Undirected,258,,1
2923617,4806496,Undirected,259,,1
3145169,3091071,Undirected,260,,1
3145169,2515154,Undirected,261,,1
3145169,2943810,Undirected,262,,1
3091071,2515154,Undirected,263,,1
3091071,2943810,Undirected,264,,1
2515154,2943810,Undirected,265,,1
1477729,68415,Undirected,266,,1
1477729,3557253,Undirected,267,,2
1477729,3593959,Undirected,268,,3
1477729,2275089,Undirected,269,,1
1477729,1736560,Undirected,270,,1
1477729,1806823,Undirected,271,,1
1477729,1561571,Undirected,272,,1
1477729,1169996,Undirected,273,,1
1477729,2522562,Undirected,274,,1
68415,3557253,Undirected,275,,1
68415,3593959,Undirected,276,,1
68415,2275089,Undirected,277,,1
3557253,3593959,Undirected,278,,2
3557253,2275089,Undirected,279,,1
3557253,1736560,Undirected,280,,1
3557253,1806823,Undirected,281,,1
3593959,2275089,Undirected,282,,1
3593959,1736560,Undirected,283,,1
3593959,1806823,Undirected,284,,1
3593959,1561571,Undirected,285,,1
3593959,1169996,Undirected,286,,1
3593959,2522562,Undirected,287,,1
1736560,1806823,Undirected,288,,1
1736560,3935345,Undirected,289,,1
1736560,3559500,Undirected,290,,1
1736560,1710581,Undirected,291,,1
1561571,1169996,Undirected,292,,1
1561571,2522562,Undirected,293,,1
1169996,2522562,Undirected,294,,1
1443785,9408579,Undirected,295,,1
1443785,4477089,Undirected,296,,1
1443785,2451675,Undirected,297,,1
9408579,4477089,Undirected,298,,1
9408579,2451675,Undirected,299,,1
4477089,2451675,Undirected,300,,1
4477089,1822018,Undirected,301,,1
4477089,7692003,Undirected,302,,1
4477089,2809894,Undirected,303,,1
4477089,4014641,Undirected,304,,1
4477089,2322204,Undirected,305,,1
4477089,5774815,Undirected,306,,1
4477089,1621259,Undirected,307,,1
4477089,7709503,Undirected,308,,1
4477089,105208,Undirected,309,,3
4477089,3410787,Undirected,310,,3
4477089,4796185,Undirected,311,,2
4477089,3373431,Undirected,312,,1
4477089,3026395,Undirected,313,,1
4477089,3753241,Undirected,314,,2
4477089,5244299,Undirected,315,,2
4477089,1681782,Undirected,316,,1
4477089,4453866,Undirected,317,,3
