Id,Label
499,Kate Winslet
500,Ioan Gruffudd
501,Suzy Amis
502,Bernard Fox
503,Ewan Stewart
504,Kathy Bates
505,Eric Braeden
506,Victor Garber
507,David Warner
508,Frances Fisher
509,Nicholas Cascone
510,Margaret Colin
511,Vivica A. Fox
512,Judd Hirsch
513,Bill Pullman
514,Mary McDonnell
515,Will Smith
516,Jeff Goldblum
517,Randy Quaid
518,Robert Loggia
519,Billy Bob Thornton
520,John Aylward
521,Shawnee Smith
522,Liv Tyler
523,Udo Kier
524,Will Patton
525,Jason Isaacs
526,Ken Hudson Campbell
527,Jessica Steen
528,Peter Stormare
529,Owen Wilson
530,Eddie Griffin
531,Ben Affleck
532,Grayson McCouch
533,Marshall R. Teague
534,Chris Ellis
535,Bruce Willis
536,Michael Clarke Duncan
537,Peter Cushing
538,William Katt
539,Paul Blake
540,John Ratzenberger
541,Temuera Morrison
542,Clive Revill
543,Jason Wingreen
544,Amanda Plummer
545,Maria de Medeiros
546,Duane Whitaker
547,Frank Whaley
548,Christopher Walken
549,Tim Roth
550,Eric Stoltz
551,John Travolta
552,Ahmed Best
553,George Lucas
554,Silas Carson
555,Rebecca Jackson Mendoza
556,Albert Finney
557,J.E. Freeman
558,Marcia Gay Harden
559,Jon Polito
560,Gabriel Byrne
561,Lisa Marie
562,Casper Van Dien
563,Claire Skinner
564,Richard Griffiths
565,Jeffrey Jones
566,Johnny Depp
567,Michael Gambon
568,Miranda Richardson
569,Christina Ricci
570,Sydney Greenstreet
571,Leonid Kinskey
572,Dooley Wilson
573,Ingrid Bergman
574,S.Z. Sakall
575,John Qualen
576,Lou Marcelle
577,Joy Page
578,Conrad Veidt
579,Humphrey Bogart
580,Madeleine LeBeau
581,Peter Lorre
582,Paul Henreid
583,Helmut Dantine
584,Richard Anderson
585,Joseph Cotten
586,James Whitmore
587,E. G. Marshall
588,Jason Robards
589,Eijirô Tono
590,Wesley Addy
591,Khigh Dheigh
592,Laurence Harvey
593,James Gregory
594,Henry Silva
595,Angela Lansbury
596,John McGiver
597,Frank Sinatra
598,Leslie Parrish
599,Hal Holbrook
600,Martin Sheen
601,Charlie Sheen
602,Sean Young
603,Daryl Hannah
604,Tilly Losch
605,Walter Connolly
606,Walter Connolly
607,Charles Grapewin
608,Tilly Losch
609,Paul Muni
610,Luise Rainer
611,Donna Reed
612,James Stewart
613,Henry Travers
614,Charles Lane
615,Albert Bassermann
616,Robert Helpmann
617,Ludmilla Tchérina
618,Moira Shearer
619,Anton Walbrook
620,Leonid Myasin
621,Marius Goring
622,Jeanne Crain
623,Harry Morgan
624,Pamela Tiffin
625,Will Rogers
626,Lew Ayres
627,Janet Gaynor
628,Henry B. Walthall
629,El Brendel
630,"Charles ""Buddy"" Rogers"
631,Julia Swayne Gordon
632,Richard Tucker
633,Gunboat Smith
634,Arlette Marchal
635,Clara Bow
636,Roscoe Karns
637,Richard Tucker
638,Jobyna Ralston
639,Gary Cooper
640,Richard Arlen
641,Ben Bard
642,Ben Bard
643,Charles Farrell
644,Jackie Searl
645,Mitzi Green
646,Jackie Cooper
647,Duncan Renaldo
648,Edwina Booth
649,Harry Carey
650,Anna May Wong
651,Clive Brook
652,Marlene Dietrich
653,Norma Shearer
654,Leslie Howard
655,Brian Aherne
656,Fredric March
657,William Powell
658,Myrna Loy
659,Skippy
660,Maureen O'Sullivan
661,Leo Carrillo
662,Terry Layman
663,Tchéky Karyo
664,Heath Ledger
665,Joely Richardson
666,Mel Gibson
667,Gregory Smith
668,Tom Wilkinson
669,Trevor Morgan
670,Chester Morris
671,Robert Montgomery
672,Joan Bennett
673,David Torrence
674,George Arliss
675,Doris Lloyd
676,Olivia de Havilland
677,Ross Alexander
678,Errol Flynn
679,Basil Rathbone
680,Una O'Connor
681,Heather Angel
682,Margot Grahame
683,Preston Foster
684,Victor McLaglen
685,Wallace Ford
686,Charles Laughton
687,Rochelle Hudson
688,Cedric Hardwicke
689,Elizabeth Allan
690,W. C. Fields
691,Edna May Oliver
692,Freddie Bartholomew
693,Erik Rhodes
694,Eric Blore
695,Ginger Rogers
696,Edward Everett Horton
697,Fred Astaire
698,Helen Broderick
699,Erik Rhodes
700,Ronald Colman
701,H. B. Warner
702,Margo
703,John Howard
704,Jane Wyatt
705,George O'Brien
706,Margaret Livingston
707,Lester Matthews
708,Eugene Pallette
709,"Alan Hale, Sr."
710,Patric Knowles
711,Alice Faye
712,Tyrone Power
713,Jack Haley
714,Don Ameche
715,Pierre Fresnay
716,Jean Gabin
717,Erich von Stroheim
718,Marcel Dalio
719,Dita Parlo
720,Bob Steele
721,"Lon Chaney, Jr."
722,Betty Field
723,Charles Bickford
724,"Noah Beery, Jr."
725,Tom Tyler
726,George Bancroft
727,Thomas Mitchell
728,Van Heflin
729,Louise Platt
730,John Wayne
731,Donald Meek
732,Tim Holt
733,Andy Devine
734,Red Buttons
735,John Carradine
736,Claire Trevor
737,Baby LeRoy
738,Cary Grant
739,Robert Benchley
740,George Sanders
741,Laraine Day
742,Joel McCrea
743,Herbert Marshall
744,Terry Alexander
745,Richard Liberty
746,Jarlath Conroy
747,Lori Cardille
748,Sherman Howard
749,Joseph Pilato
750,Lori Cardille
751,Brad Renfro
752,David Schwimmer
753,Dustin Hoffman
754,Stanley Beck
755,Jan Miner
756,Gary Morton
757,Valerie Perrine
758,Stanley Beck
759,David Sterne
760,Nick Brimble
761,Karel Dobry
762,Paul Bettany
763,Vladimir Kulhavy
764,Petr Meissel
765,Shannyn Sossamon
766,Alice Vese
767,Alice Connor
768,Mark Addy
769,Alan Tudyk
770,Berwick Kaler
771,David Schneider
772,Laura Fraser
773,Leagh Conwell
774,Rudolf Kubik
775,Mathew Mills
776,Philip Lenkowsky
777,Steve O�??Donnell
778,Berenice Bejo
779,James Purefoy
780,Roger Ashton-Griffiths
781,Howie Lotker
782,David Fisher
783,Scott Handy
784,Jonathan Slinger
785,Bérénice Bejo
786,Christopher Cazenove
787,Rufus Sewell
788,Daniel Rous
789,Embeth Davidtz
790,Ben Kingsley
791,Caroline Goodall
792,Ralph Fiennes
793,Joseph Paur
794,Shohreh Aghdashloo
795,David Ackert
796,Gustaf Gründgens
797,Otto Wernicke
798,Lesley Ann Warren
799,Michael McKean
800,Lee Ving
801,Colleen Camp
802,Eileen Brennan
803,Madeline Kahn
804,Jeffrey Kramer
805,Kellye Nakahara
806,Tim Curry
807,Christopher Lloyd
808,Martin Mull
809,Jane Wiedlin
810,Sharon Stone
811,Pam Grier
812,Steven Seagal
813,Daniel Faraldo
814,Chelcie Ross
815,Katherine Heigl
816,Morris Chestnut
817,Everett McGill
818,Eric Bogosian
819,Jaime Pressly
820,Nas
821,Dennis Hopper
822,Jay C. Flippen
823,June Allyson
824,Frank Lovejoy
825,Barry Sullivan
826,Alex Nicol
827,Bruce Bennett
828,Tom Tully
829,Robert Charles Francis
830,Fred MacMurray
831,Lee Marvin
832,Van Johnson
833,Don Dubbins
834,Katharine Hepburn
835,Clarence Kolb
836,Faye Dunaway
837,Bruce Glover
838,John Huston
839,Diane Ladd
840,John Hillerman
841,Warren Oates
842,Warner Oland
843,May McAvoy
844,Al Jolson
845,Gene Hackman
846,Estelle Parsons
847,Michael J. Pollard
